Location,Replicate,Plot,Lentil,Wheat
Clavet_2024,1,3328,L001,W006
Clavet_2024,1,3356,L001,W004
Clavet_2024,1,3476,L001,W007
Clavet_2024,1,3603,L001,W001
Clavet_2024,1,3689,L001,W005
Clavet_2024,1,3714,L001,W010
Clavet_2024,1,4092,L001,W002
Clavet_2024,1,4180,L001,W009
Clavet_2024,1,4275,L001,W008
Clavet_2024,1,4279,L001,W003
Clavet_2024,2,4307,L001,W007
Clavet_2024,2,4328,L001,W008
Clavet_2024,2,4411,L001,W009
Clavet_2024,2,4543,L001,W001
Clavet_2024,2,4886,L001,W004
Clavet_2024,2,4924,L001,W010
Clavet_2024,2,4929,L001,W006
Clavet_2024,2,4943,L001,W005
Clavet_2024,2,5093,L001,W003
Clavet_2024,2,5120,L001,W002
Clavet_2024,1,3258,L002,W011
Clavet_2024,1,3487,L002,W019
Clavet_2024,1,3593,L002,W020
Clavet_2024,1,3610,L002,W015
Clavet_2024,1,3712,L002,W013
Clavet_2024,1,3759,L002,W014
Clavet_2024,1,3783,L002,W017
Clavet_2024,1,3825,L002,W012
Clavet_2024,1,3902,L002,W018
Clavet_2024,1,4205,L002,W016
Clavet_2024,2,4326,L002,W019
Clavet_2024,2,4391,L002,W013
Clavet_2024,2,4418,L002,W017
Clavet_2024,2,4529,L002,W012
Clavet_2024,2,4587,L002,W015
Clavet_2024,2,4592,L002,W018
Clavet_2024,2,4773,L002,W011
Clavet_2024,2,4829,L002,W020
Clavet_2024,2,5092,L002,W014
Clavet_2024,2,5205,L002,W016
Clavet_2024,1,3255,L003,W027
Clavet_2024,1,3256,L003,W030
Clavet_2024,1,3293,L003,W026
Clavet_2024,1,3332,L003,W025
Clavet_2024,1,3488,L003,W021
Clavet_2024,1,3563,L003,W023
Clavet_2024,1,3904,L003,W029
Clavet_2024,1,3929,L003,W024
Clavet_2024,1,3947,L003,W028
Clavet_2024,1,4116,L003,W022
Clavet_2024,2,4330,L003,W024
Clavet_2024,2,4460,L003,W022
Clavet_2024,2,4496,L003,W027
Clavet_2024,2,4603,L003,W028
Clavet_2024,2,4850,L003,W026
Clavet_2024,2,4873,L003,W021
Clavet_2024,2,4981,L003,W025
Clavet_2024,2,5140,L003,W023
Clavet_2024,2,5164,L003,W029
Clavet_2024,2,5349,L003,W030
Clavet_2024,1,3474,L004,W031
Clavet_2024,1,3711,L004,W033
Clavet_2024,1,3848,L004,W035
Clavet_2024,1,3876,L004,W036
Clavet_2024,1,3942,L004,W037
Clavet_2024,1,3993,L004,W032
Clavet_2024,1,4011,L004,W040
Clavet_2024,1,4071,L004,W034
Clavet_2024,1,4084,L004,W039
Clavet_2024,1,4184,L004,W038
Clavet_2024,2,4360,L004,W036
Clavet_2024,2,4447,L004,W032
Clavet_2024,2,4458,L004,W034
Clavet_2024,2,4524,L004,W033
Clavet_2024,2,4585,L004,W037
Clavet_2024,2,4971,L004,W039
Clavet_2024,2,4983,L004,W031
Clavet_2024,2,5110,L004,W038
Clavet_2024,2,5134,L004,W035
Clavet_2024,2,5350,L004,W040
Clavet_2024,1,3277,L005,W049
Clavet_2024,1,3399,L005,W048
Clavet_2024,1,3564,L005,W041
